,Pitcher,Batter,BatterTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
78,Matthew  Dalquist,Trevor  Austin,Mizzou 2024,Fastball,BallCalled,,88.50231439887945,19.874005851817063,10.056859664797583,1.946492541924501,-0.7488052527853822
79,Matthew  Dalquist,Trevor  Austin,Mizzou 2024,Fastball,InPlay,Out,88.04137930383791,19.925617918029143,10.763936494301271,1.5286527484621613,1.348141873561741
80,Matthew  Dalquist,Thomas  Curry,Mizzou 2024,Changeup,BallCalled,,84.16220976039305,12.96698171157938,17.264203244521205,0.7041962106934065,0.5157074988868928
81,Matthew  Dalquist,Thomas  Curry,Mizzou 2024,Curveball,BallCalled,,74.56040735346235,-8.446274757432192,-14.203360127908924,2.37458666926665,-1.404999171108732
82,Matthew  Dalquist,Thomas  Curry,Mizzou 2024,Fastball,Foul,,88.525142940047,19.67224351483913,10.219561259128692,2.5578523776243167,-0.0180400660694864
83,Matthew  Dalquist,Thomas  Curry,Mizzou 2024,Changeup,BallCalled,,83.14368163444087,10.965573874109747,17.994897068011813,0.9243495672831354,0.3192977263867526
84,Matthew  Dalquist,Thomas  Curry,Mizzou 2024,Fastball,InPlay,Out,87.65079489646443,19.82721555557716,10.787254930442078,2.492077130242261,-0.1151975938461625
85,Matthew  Dalquist,Jackson  Lovich,Mizzou 2024,Fastball,StrikeCalled,,89.71309040987059,19.30304189109656,11.287756998322322,2.613042178529549,-0.1934761700771125
86,Matthew  Dalquist,Jackson  Lovich,Mizzou 2024,Fastball,InPlay,Error,89.68623882826476,19.56867669800423,10.698460546209068,2.107746433819543,-0.7016743317472803
87,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Changeup,StrikeSwinging,,82.43249760028503,10.790837932639691,18.60275799466297,1.6361691700003198,0.6496323704661205
88,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Changeup,BallCalled,,82.05387049501202,11.582239634376752,15.94892477902247,3.0710605779145075,1.372883116574548
89,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Changeup,BallCalled,,83.9389550287942,10.261404159227013,18.082647507312394,0.6670298644935907,-0.547078321400529
90,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Fastball,StrikeSwinging,,88.02559758283861,19.83344518956173,10.587986597181024,2.7430438152549144,-0.4002011322575121
91,Matthew  Dalquist,Danny  Corona,Mizzou 2024,Changeup,InPlay,Single,83.34203842046114,11.11859326264361,18.04956746207461,1.920186696172292,0.5857913946655824
92,Matthew  Dalquist,Jeric  Curtis,Mizzou 2024,Fastball,StrikeCalled,,88.69384705463489,19.865222659043035,11.984153296367472,3.265681632281375,-0.2975645579589697
93,Matthew  Dalquist,Jeric  Curtis,Mizzou 2024,Fastball,StrikeSwinging,,88.44984570599507,19.56409686075325,11.86106085022071,3.654766197366031,-0.4022781380882798
94,Matthew  Dalquist,Jeric  Curtis,Mizzou 2024,Fastball,BallCalled,,89.42962474707136,19.883373272283347,11.28295676889229,3.93554463250698,0.3838028857595644
95,Matthew  Dalquist,Jeric  Curtis,Mizzou 2024,Curveball,BallCalled,,74.61477407021145,-5.305644253426813,-13.992652976059071,4.429284445926678,-0.7999315825653285
96,Matthew  Dalquist,Jeric  Curtis,Mizzou 2024,Fastball,StrikeCalled,StrikeoutLooking,89.65597211675073,20.60813607235874,9.775153364423591,1.928725205187204,-0.78189065220754
128,Matthew  Dalquist,Brock  Daniels,Mizzou 2024,Changeup,BallCalled,,81.07045911473627,11.594730828874557,18.17579581224743,0.906807107824186,0.148298344733603
129,Matthew  Dalquist,Brock  Daniels,Mizzou 2024,Fastball,StrikeCalled,,86.3429916166401,18.882951875883244,12.160867440650977,1.4766882722786423,0.5313345942675809
130,Matthew  Dalquist,Brock  Daniels,Mizzou 2024,Slider,StrikeCalled,,79.42947920797833,7.625085241039812,-4.324530803726151,3.121884349372526,0.4460935618649868
131,Matthew  Dalquist,Brock  Daniels,Mizzou 2024,Changeup,StrikeSwinging,StrikeoutSwinging,81.165849180866,12.386152479396667,18.296528668329127,1.0808293745811064,0.5335919145708607
132,Matthew  Dalquist,Jedier  Hernandez,Mizzou 2024,Changeup,BallCalled,,82.54102295712421,11.255233758876551,19.04162404983691,0.7761842365321128,-0.189718975177871
133,Matthew  Dalquist,Jedier  Hernandez,Mizzou 2024,Fastball,Foul,,87.93142641573094,18.8200120965456,12.81107675222516,2.780352021550329,0.9314944748717264
134,Matthew  Dalquist,Jedier  Hernandez,Mizzou 2024,Slider,BallCalled,,78.68451233686542,6.151579762778923,-5.932958566827852,4.095091736909084,-0.1200142761185483
135,Matthew  Dalquist,Jedier  Hernandez,Mizzou 2024,Fastball,InPlay,Out,86.06851107784924,18.628602593472262,12.12877235879309,2.3387881079075767,1.2222058237798488
136,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Fastball,Foul,,85.81151941786017,19.09931790781932,11.865802458429782,2.890916146332471,0.4652298690978975
137,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Slider,BallCalled,,81.3648373225006,7.264042113257645,-3.766301806643831,2.071445322774547,-0.803411499325617
138,Matthew  Dalquist,Drew  Culbertson,Mizzou 2024,Slider,StrikeCalled,,79.77081323854392,7.307702215098594,-6.479372568923667,2.565078214696854,0.4697040919524799
